country,clf,feat_set,inc,auc_score,N,N_p,N_n
AM,CART,inc-only,1,0.6417142393019586,2008,115,1893
AM,CART,inc-only,2,0.6299735660700573,2008,115,1893
AM,CART,inc-only,3,0.7118380547327916,2008,115,1893
AM,CART,inc-only,4,0.7554307485886433,2008,115,1893
AM,CART,inc-only,5,0.7371037653055197,2008,115,1893
AM,CART,inc-only,6,0.8003939773676616,2008,115,1893
AM,CART,inc-only,7,0.7488530881074741,2008,115,1893
AM,CART,inc-only,8,0.7806041619199514,2008,115,1893
AM,CART,appended,1,0.6731527893808595,2008,115,1893
AM,CART,appended,2,0.6912749888188484,2008,115,1893
AM,CART,appended,3,0.7587789338666532,2008,115,1893
AM,CART,appended,4,0.7918693197640566,2008,115,1893
AM,CART,appended,5,0.7990316067947647,2008,115,1893
AM,CART,appended,6,0.812118933697881,2008,115,1893
AM,CART,appended,7,0.7870574795574796,2008,115,1893
AM,CART,appended,8,0.822039568618516,2008,115,1893
AM,RF,inc-only,1,0.9027766807591369,2008,115,1893
AM,RF,inc-only,2,0.8676459878652861,2008,115,1893
AM,RF,inc-only,3,0.9211221656835692,2008,115,1893
AM,RF,inc-only,4,0.9754763803448014,2008,115,1893
AM,RF,inc-only,5,0.9587362345257082,2008,115,1893
AM,RF,inc-only,6,0.9553720580913563,2008,115,1893
AM,RF,inc-only,7,0.9337867395762133,2008,115,1893
AM,RF,inc-only,8,0.9817393652481372,2008,115,1893
AM,RF,appended,1,0.8977849927849928,2008,115,1893
AM,RF,appended,2,0.9139935064935065,2008,115,1893
AM,RF,appended,3,0.944299933335021,2008,115,1893
AM,RF,appended,4,0.9740371762740183,2008,115,1893
AM,RF,appended,5,0.9836191910753315,2008,115,1893
AM,RF,appended,6,0.9889238036167861,2008,115,1893
AM,RF,appended,7,0.9898532737567826,2008,115,1893
AM,RF,appended,8,0.9916028708133972,2008,115,1893
AM,XGB,inc-only,1,0.8919135802469136,2008,115,1893
AM,XGB,inc-only,2,0.8200179953250128,2008,115,1893
AM,XGB,inc-only,3,0.9021440596440596,2008,115,1893
AM,XGB,inc-only,4,0.9693012835118098,2008,115,1893
AM,XGB,inc-only,5,0.959498746867168,2008,115,1893
AM,XGB,inc-only,6,0.9458978886610465,2008,115,1893
AM,XGB,inc-only,7,0.9262231546880669,2008,115,1893
AM,XGB,inc-only,8,0.9743112199691147,2008,115,1893
AM,XGB,appended,1,0.8880014008084184,2008,115,1893
AM,XGB,appended,2,0.9053892728454132,2008,115,1893
AM,XGB,appended,3,0.9378201184780133,2008,115,1893
AM,XGB,appended,4,0.9731252795287882,2008,115,1893
AM,XGB,appended,5,0.9821704513809777,2008,115,1893
AM,XGB,appended,6,0.9866197058302321,2008,115,1893
AM,XGB,appended,7,0.9890699391576585,2008,115,1893
AM,XGB,appended,8,0.9905461887040834,2008,115,1893
AR,CART,inc-only,1,0.6919607450356451,7878,649,7229
AR,CART,inc-only,2,0.6825213581578343,7878,649,7229
AR,CART,inc-only,3,0.7525087127829948,7878,649,7229
AR,CART,inc-only,4,0.7874937449602701,7878,649,7229
AR,CART,inc-only,5,0.7857645929191354,7878,649,7229
AR,CART,inc-only,6,0.8210251270597686,7878,649,7229
AR,CART,inc-only,7,0.8264409357658429,7878,649,7229
AR,CART,inc-only,8,0.8530195661249399,7878,649,7229
AR,CART,appended,1,0.697331705717942,7878,649,7229
AR,CART,appended,2,0.7542323829666414,7878,649,7229
AR,CART,appended,3,0.8011413024577673,7878,649,7229
AR,CART,appended,4,0.8203049823108428,7878,649,7229
AR,CART,appended,5,0.8238789960858098,7878,649,7229
AR,CART,appended,6,0.8401383226714312,7878,649,7229
AR,CART,appended,7,0.8475807657235888,7878,649,7229
AR,CART,appended,8,0.8650727947626744,7878,649,7229
AR,RF,inc-only,1,0.9122238290198699,7878,649,7229
AR,RF,inc-only,2,0.9194965501428071,7878,649,7229
AR,RF,inc-only,3,0.941164699440531,7878,649,7229
AR,RF,inc-only,4,0.9728629037457277,7878,649,7229
AR,RF,inc-only,5,0.9618123708108719,7878,649,7229
AR,RF,inc-only,6,0.9677772221211575,7878,649,7229
AR,RF,inc-only,7,0.9594612358382855,7878,649,7229
AR,RF,inc-only,8,0.9830565141050546,7878,649,7229
